source_unit,name,age,description,geomaterial
52|gg2,Granitic gneiss / Gneissic granite (augen or porphyritic),Precambrian and/or Paleozoic,,"Medium and high-grade regional metamorphic rock, of unspecified origin"
52|pms3,Mica schist / Gneiss,Precambrian to Paleozoic,,"Medium and high-grade regional metamorphic rock, of unspecified origin"
52|Qtm,Marsh and lagoonal facies,Pleistocene,,"Coastal zone sediment, mostly fine-grained"
52|Qti,Barrier island facies,Pleistocene,,"Coastal zone sediment, mostly coarse-grained"
52|mp1,Amphibolite / Gabbro,Precambrian to Paleozoic,,Igneous and metamorphic rock
52|gr4,Charnockite,Precambrian and/or Paleozoic,,"Coarse-grained, felsic-composition intrusive igneous rock"
52|mm11,Mafic hornfels,Precambrian to Paleozoic,,Contact-metamorphic rock
52|On,Newala Limestone,Ordovician,,Limestone
52|mm6,Hornblende gneiss / Granite gneiss / Biotite gneiss,Precambrian to Paleozoic,,"Medium and high-grade regional metamorphic rock, of unspecified origin"
52|q1b,Quartzite / Mica schist / Amphibolite,Precambrian to Paleozoic,,"Medium and high-grade regional metamorphic rock, of unspecified origin"
