GEOID,B19013_001E,B19013_001M,B25077_001E,B25077_001M,B25064_001E,B25064_001M,B25003_001E,B25003_001M,B25003_003E,B25003_003M,B08301_001E,B08301_001M,B08301_003E,B08301_003M,B08301_004E,B08301_004M,B08301_010E,B08301_010M,B08301_016E,B08301_016M,B08301_017E,B08301_017M,B08301_018E,B08301_018M,B08301_019E,B08301_019M,B08301_020E,B08301_020M,B08301_021E,B08301_021M
13089021819,123514,26126,413500,38535,1928,579,1378,218,305,148,1697,322,1045,266,37,31,76,106,0,14,0,14,0,14,1,4,11,18,527,151
13089021820,56833,14110,366200,157133,1786,88,1238,194,781,147,1277,255,937,235,40,30,0,14,0,14,0,14,0,14,22,24,14,22,264,135
13089021821,161205,30860,469200,20536,2189,217,1263,226,214,223,1481,303,886,168,24,40,0,14,0,14,0,14,0,14,9,14,0,14,562,283
13121009700,250001,-333333333,1231100,322044,2188,2120,1650,210,112,59,2055,252,1572,261,34,35,0,14,0,14,0,14,0,14,44,44,8,13,397,124
13121009802,212955,57029,1233700,185821,2339,492,1706,182,475,102,2106,291,1573,263,15,23,0,14,0,14,0,14,0,14,0,14,0,14,518,175
13121009900,124677,30808,1147200,166536,1841,146,2160,244,517,142,2400,395,1324,281,202,196,0,20,0,20,0,20,0,20,46,55,0,20,828,244
13121010003,149266,11707,455500,42723,1948,172,2364,324,815,245,3150,566,1979,566,0,14,0,14,0,14,0,14,0,14,266,218,0,14,905,288
13121010004,216429,94425,873400,46881,-666666666,-222222222,848,261,8,12,1550,870,1075,695,12,14,0,14,100,145,0,14,0,14,0,14,32,49,331,134
13121010005,250001,-333333333,1257400,179832,-666666666,-222222222,1154,105,47,73,1616,224,991,178,0,14,9,14,0,14,0,14,0,14,0,14,25,29,591,216
13121010007,201771,90843,878300,100475,2414,1764,783,161,121,52,846,308,439,113,29,36,0,14,0,14,0,14,0,14,8,14,0,14,370,271
13121010106,101688,10905,699100,237883,2036,164,1677,239,579,132,2015,363,1406,277,54,81,68,88,0,14,0,14,0,14,0,14,39,40,448,180
13121010107,250001,-333333333,917400,45147,-666666666,-222222222,718,79,13,14,917,131,532,104,36,24,4,7,0,14,0,14,0,14,0,14,15,13,330,99
13121010108,164531,85752,775700,87963,2772,1227,1797,268,443,203,2182,401,1164,264,6,9,38,50,0,14,0,14,0,14,17,19,24,37,933,353
13121010115,204978,50903,944700,62474,2300,264,1173,137,526,137,1512,197,878,176,0,14,27,31,12,19,0,14,0,14,22,26,72,88,501,110
13121010117,85436,27760,-666666666,-222222222,1737,46,2162,384,1669,273,2769,493,1797,505,55,88,86,92,42,69,10,19,0,14,15,25,41,80,723,179
