GEOID,B03002_001E,B03002_001M,B03002_003E,B03002_003M,B03002_004E,B03002_004M,B03002_005E,B03002_005M,B03002_006E,B03002_006M,B03002_007E,B03002_007M,B03002_008E,B03002_008M,B03002_009E,B03002_009M,B03002_012E,B03002_012M
131350503222,722,284,666,290,12,19,0,14,9,14,0,14,0,14,11,17,24,29
131350503223,1126,366,931,345,0,14,0,14,43,45,0,14,0,14,99,95,53,48
131350503311,1546,235,134,113,315,235,0,14,176,149,0,14,35,42,19,30,867,294
131350503312,601,417,173,169,23,66,0,14,0,14,0,14,0,14,0,14,405,342
131350503321,1805,435,323,194,107,110,0,14,183,200,0,14,0,14,1,2,1191,431
131350503322,1308,446,175,89,425,269,0,14,322,278,0,14,17,25,18,28,351,307
131350503351,1953,408,740,231,692,338,0,14,223,203,0,14,0,14,75,83,223,207
131350503352,672,268,621,264,51,59,0,14,0,14,0,14,0,14,0,14,0,14
131350503362,2436,414,1110,314,645,128,0,14,325,119,0,14,0,14,36,35,320,301
131350504562,1836,776,0,14,368,355,0,14,91,137,0,14,0,14,0,14,1377,689
