GEOID,B03002_001E,B03002_001M,B03002_003E,B03002_003M,B03002_004E,B03002_004M,B03002_005E,B03002_005M,B03002_006E,B03002_006M,B03002_007E,B03002_007M,B03002_008E,B03002_008M,B03002_009E,B03002_009M,B03002_012E,B03002_012M
130890214053,1534,431,1243,368,27,45,0,14,121,104,0,14,0,14,86,94,57,57
130890214091,336,234,160,119,0,14,0,14,0,14,0,14,0,14,0,14,176,199
130890214092,1960,529,49,49,828,376,4,11,0,14,0,14,0,14,70,106,1009,478
130890214093,1018,692,189,162,675,697,0,14,58,76,0,14,0,14,22,26,74,93
130890214101,1960,797,610,226,52,41,0,14,18,31,0,14,0,14,47,59,1233,778
130890214102,859,502,70,61,44,52,0,14,0,14,0,14,0,14,0,14,745,513
130890214103,1876,600,840,276,474,233,0,14,418,422,0,14,0,14,32,50,112,96
130890214111,1226,365,766,276,38,41,0,14,45,39,0,14,0,14,194,142,183,245
130890214112,1034,429,723,351,134,121,0,14,68,74,0,14,0,14,21,33,88,86
130890214113,2056,563,1475,526,454,267,0,14,27,33,0,14,0,14,29,31,71,62
130890214121,1814,411,1423,367,109,92,0,14,101,81,0,14,10,17,142,85,29,27
130890214122,1415,432,782,255,183,220,0,14,19,33,0,14,0,14,16,27,415,326
130890214123,951,360,773,347,0,14,0,14,7,11,0,14,0,14,0,14,171,174
130890216081,437,269,13,22,406,258,0,14,0,14,0,14,0,14,18,31,0,14
130890216082,2686,1148,1295,323,718,1017,0,14,59,91,0,14,137,175,0,14,477,529
130890217091,1462,354,990,231,115,183,0,14,94,93,0,14,0,14,207,157,56,68
130890217092,1158,423,383,136,526,323,0,14,0,14,0,14,12,19,33,51,204,254
130890217093,681,283,311,194,186,173,0,14,86,78,0,14,0,14,25,31,73,97
130890217101,969,229,586,173,125,93,0,14,180,124,0,14,0,14,78,68,0,14
130890217102,1665,374,1374,314,88,140,0,14,105,123,0,14,0,14,52,58,46,43
130890217111,2136,949,528,218,373,287,0,14,133,134,41,61,0,14,78,77,983,969
130890217112,1032,523,397,167,73,107,0,14,54,63,0,14,0,14,184,269,324,337
130890217121,1080,461,342,174,570,399,0,14,62,93,0,14,0,14,37,37,69,73
130890217122,1682,494,451,204,521,263,0,14,203,145,0,14,357,435,39,45,111,97
130890218081,2830,706,1564,552,351,241,6,9,165,82,0,14,0,14,89,92,655,406
130890218082,680,219,355,117,178,173,0,14,104,78,0,14,0,14,8,13,35,55
130890218083,1355,413,315,151,230,194,0,14,146,132,0,14,0,14,57,57,607,304
130890218122,1724,653,370,109,141,141,0,14,429,510,0,14,30,48,56,44,698,357
130890218131,1276,301,45,51,405,223,0,14,0,14,0,14,0,14,66,49,760,268
130890218132,881,334,90,77,557,327,0,14,50,80,0,14,0,14,15,22,169,137
130890218152,2103,1142,32,44,1007,1066,0,14,0,14,0,14,0,14,58,83,1006,490
130890218153,1286,580,64,49,512,457,0,14,0,14,0,14,0,14,23,39,687,346
130890218162,1600,815,665,273,47,65,0,14,100,116,0,14,0,14,82,166,706,658
130890218191,1723,465,1122,373,271,227,0,14,232,235,0,14,0,14,4,8,94,87
130890218192,1833,452,968,348,319,193,0,14,140,83,0,14,0,14,181,106,225,165
130890218202,965,244,440,148,133,141,0,14,319,210,0,14,0,14,52,60,21,33
130890218212,2120,374,1667,347,212,178,0,14,24,37,25,35,0,14,114,122,78,66
131210097001,1307,363,764,246,134,96,0,14,181,225,0,14,0,14,37,58,191,195
131210097002,995,326,592,198,78,102,0,14,83,111,0,14,0,14,125,116,117,200
131210098021,1760,292,1569,300,43,70,0,14,32,45,0,14,0,14,64,89,52,61
131210098022,1261,317,989,321,122,86,0,14,76,86,0,14,0,14,48,54,26,31
